rank,company,ticker,cik,fiscal_year,current_federal,current_state,current_foreign,total_current,deferred_federal,deferred_state,deferred_foreign,total_deferred,total_tax_expense,pretax_income,effective_tax_rate,cash_taxes_paid
32,Phillips 66,PSX,0001534701,2024,11.00,0.00,0.00,11.00,-64.00,0.00,0.00,-64.00,-53.00,0.00,10.00%,0.00
32,Phillips 66,PSX,0001534701,2023,335.00,0.00,0.00,335.00,33.00,0.00,0.00,33.00,368.00,0.00,0.00%,0.00
32,Phillips 66,PSX,0001534701,2022,173.00,0.00,0.00,173.00,258.00,0.00,0.00,258.00,431.00,0.00,0.00%,0.00
34,United Parcel Service Inc.,UPS,0001090727,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,660.00",0.00,0.00%,0.00
34,United Parcel Service Inc.,UPS,0001090727,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,865.00",0.00,0.00%,0.00
34,United Parcel Service Inc.,UPS,0001090727,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,277.00",0.00,0.00%,0.00
35,Tesla Inc.,TSLA,0001318605,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
35,Tesla Inc.,TSLA,0001318605,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
35,Tesla Inc.,TSLA,0001318605,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
40,PBF Energy Inc.,PBF,0001534504,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,723.80,0.00,50.00%,0.00
40,PBF Energy Inc.,PBF,0001534504,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,584.80,0.00,0.00%,0.00
40,PBF Energy Inc.,PBF,0001534504,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
41,Citigroup Inc.,C,0000831001,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,211.00",0.00,21.00%,0.00
41,Citigroup Inc.,C,0000831001,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,528.00",0.00,0.00%,0.00
41,Citigroup Inc.,C,0000831001,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,642.00",0.00,0.00%,0.00
42,Archer Daniels Midland Co.,ADM,0000007084,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,476.00,0.00,20.00%,0.00
42,Archer Daniels Midland Co.,ADM,0000007084,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,828.00,0.00,0.00%,0.00
42,Archer Daniels Midland Co.,ADM,0000007084,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,868.00,0.00,0.00%,0.00
44,FedEx Corp.,FDX,0001048911,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
44,FedEx Corp.,FDX,0001048911,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
44,FedEx Corp.,FDX,0001048911,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
45,Humana Inc.,HUM,0000049071,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,413.00,0.00,0.00%,0.00
45,Humana Inc.,HUM,0000049071,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,836.00,0.00,0.00%,0.00
45,Humana Inc.,HUM,0000049071,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,762.00,0.00,0.00%,0.00
46,Energy Transfer LP,ET,0001276187,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,541.00,0.00,0.00%,0.00
46,Energy Transfer LP,ET,0001276187,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,303.00,0.00,0.00%,0.00
46,Energy Transfer LP,ET,0001276187,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.00,0.00,0.00%,0.00
47,PepsiCo Inc.,PEP,0000077476,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
47,PepsiCo Inc.,PEP,0000077476,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
47,PepsiCo Inc.,PEP,0000077476,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
48,ConocoPhillips,COP,0001163165,2024,182.00,0.00,0.00,182.00,49.00,0.00,0.00,49.00,231.00,0.00,10.00%,0.00
48,ConocoPhillips,COP,0001163165,2023,202.00,0.00,0.00,202.00,65.00,0.00,0.00,65.00,267.00,0.00,0.00%,0.00
48,ConocoPhillips,COP,0001163165,2022,386.00,0.00,0.00,386.00,70.00,0.00,0.00,70.00,456.00,0.00,0.00%,0.00
49,Procter & Gamble Co.,PG,0000080424,2025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
49,Procter & Gamble Co.,PG,0000080424,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
